GeoFips,GeoName,LineCode,Description,2021,
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",3,Current-dollar GDP (thousands of current dollars),15762678,
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),28336074,
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,116.187,
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),34425793,
16940,"Cheyenne, WY (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),5507761,
16940,"Cheyenne, WY (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,109.101,
16940,"Cheyenne, WY (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),6608922,
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),630126315,
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,110.364,
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),764583227,
17020,"Chico, CA (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),8094801,
17020,"Chico, CA (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,109.939,
17020,"Chico, CA (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),10006052,
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),141603974,
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,123.214,
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),171737526,
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),11955588,
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,102.056,
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),14546292,
17420,"Cleveland, TN (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),4463690,
17420,"Cleveland, TN (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,102.139,
17420,"Cleveland, TN (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),5423969,
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),122275473,
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,110.707,
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),147637827,
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),6553224,
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,144.034,
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),8112478,
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),14695978,
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,138.791,
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),15896707,
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),36364322,
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,123.084,
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),43522096,
17860,"Columbia, MO (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),9848822,
17860,"Columbia, MO (Metropolitan Statistical Area)",2,Chain-type quantity indexes for real GDP,119.276,
17860,"Columbia, MO (Metropolitan Statistical Area)",3,Current-dollar GDP (thousands of current dollars),12077178,
17900,"Columbia, SC (Metropolitan Statistical Area)",1,Real GDP (thousands of chained 2012 dollars),39506122,
